Desc_P,Code_P,Desc_E,Code_E,Desc_F,Code_F
Kiwi - sztuka,Owoce ?wie?e lub ch?odzone,Kiwi - art,Fresh or chilled fruits,Kiwi - art,Fruits frais ou réfrigérés
Kiwi - zielone RTE,Owoce ?wie?e lub ch?odzone,Kiwi - green RTE,Fresh or chilled fruits,Kiwi - RTE vert,Fruits frais ou réfrigérés
Klaas Puul - Koktajl owoców morza,Pozosta?e przetwory z ryb i owoców morza,Klaas Puul - Seafood cocktail,Other preparations of fish and seafood,Klaas Puul - Cocktail de fruits de mer,Autres préparations de poisson et de fruits de mer
Klaas Puul - Krewetka koktailowa ró?owa,Ryby ?wie?e lub ch?odzone,Klaas Puul - Pink prawn cocktail,Fresh or chilled fish,Klaas Puul - Cocktail de crevettes roses,Poisson frais ou réfrigéré
Knoppers - wafelek mleczno-orzechowy,Pozosta?e wyroby piekarskie,Knoppers - a milk-nut wafer,Other bakery products,Knoppers - une plaquette de noix de lait,Autres produits de boulangerie
Knorr - Barszcz czerwony Knorr,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Knorr - Beetroot soup Knorr,Other food items not elsewhere classified,Knorr - Soupe à la betterave Knorr,Autres produits alimentaires nca
Knorr - Bulion W?oszczyzna,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Knorr - Italian Bouillon,Other food items not elsewhere classified,Knorr - Bouillon Italien,Autres produits alimentaires nca
Knorr - Bulionetka drobiowa,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Knorr - Chicken broth,Other food items not elsewhere classified,Knorr - Bouillon de poulet,Autres produits alimentaires nca
Knorr - Curry,"Sól, przyprawy korzenne i zio?a kulinarne",Knorr - Curry,"Salt, spices and culinary herbs",Knorr - Curry,"Sel, épices et herbes culinaires"
Knorr - Cynamon z Wietnamu,"Sól, przyprawy korzenne i zio?a kulinarne",Knorr - Cinnamon from Vietnam,"Salt, spices and culinary herbs",Knorr - Cannelle du Vietnam,"Sel, épices et herbes culinaires"
Knorr - Fix gulasz z warzywami,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Knorr - Fix vegetable stew,Other food items not elsewhere classified,Knorr - Ragoût de légumes Fix,Autres produits alimentaires nca
Knorr - Fix spaghetti bolognese z warzywami,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Knorr - Fix spaghetti bolognese with vegetables,Other food items not elsewhere classified,Knorr - Fix spaghetti bolognaise aux légumes,Autres produits alimentaires nca
Knorr - Fix s?odko kwa?ny,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Knorr - Fix sweet and sour,Other food items not elsewhere classified,Knorr - Difficulté aigre-douce,Autres produits alimentaires nca
Knorr - Gor?cy Kubek - Barszcz czerwony,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Knorr - Hot Mug - Beetroot soup,Other food items not elsewhere classified,Knorr - Hot Mug - Soupe de betteraves rouges,Autres produits alimentaires nca
Knorr - Gor?cy Kubek - Barszcz czerwony,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Knorr - Hot Mug - Beetroot soup,Other food items not elsewhere classified,Knorr - Hot Mug - Soupe de betteraves rouges,Autres produits alimentaires nca
Knorr - Li?? laurowy z Turcji,"Sól, przyprawy korzenne i zio?a kulinarne",Knorr - Bay leaf from Turkey,"Salt, spices and culinary herbs",Knorr - Laurier de Turquie,"Sel, épices et herbes culinaires"
Knorr - Majeranek z krajów ?ródziemnomorskich,"Sól, przyprawy korzenne i zio?a kulinarne",Knorr - Marjoram from Mediterranean countries,"Salt, spices and culinary herbs",Knorr - Marjolaine des pays méditerranéens,"Sel, épices et herbes culinaires"
Knorr - Mieszanka zió? i przypraw W?gierska z papryk?,"Sól, przyprawy korzenne i zio?a kulinarne",Knorr - A mixture of Hungarian herbs and spices with peppers,"Salt, spices and culinary herbs",Knorr - Un mélange d&#39;herbes hongroises et d&#39;épices avec du paprika,"Sel, épices et herbes culinaires"
Knorr - Mieszanka zió? i przypraw grecka z oregano,"Sól, przyprawy korzenne i zio?a kulinarne",Knorr - A mixture of herbs and spices Greek with oregano,"Salt, spices and culinary herbs",Knorr - Un mélange d&#39;herbes et d&#39;épices grecque à l&#39;origan,"Sel, épices et herbes culinaires"
Knorr - Mieszanka zió? i przypraw w?oska z suszonymi pomid...,"Sól, przyprawy korzenne i zio?a kulinarne",Knorr - A mixture of Italian herbs and spices with dried tomatoes ...,"Salt, spices and culinary herbs",Knorr - Un mélange d&#39;herbes italiennes et d&#39;épices avec des tomates séchées ...,"Sel, épices et herbes culinaires"
Knorr - Naturalnie smaczne. Sos sa?atkowy. Zio?a ogrodowe ...,"Sosy, przyprawy",Knorr - Naturally tasty. Salad sauce. Garden herbs ...,"Sauces, spices",Knorr - Naturellement savoureux. Vinaigrette. Herbes de jardin ...,"Sauces, Epices"
Knorr - Nudle Diabolo Pomidoro,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Knorr - Nudle Diabolo Tomato,Other food items not elsewhere classified,Knorr - Nudle Tomate Diabolo,Autres produits alimentaires nca
Knorr - Nudle Diabolo Pomidoro,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Knorr - Nudle Diabolo Tomato,Other food items not elsewhere classified,Knorr - Nudle Tomate Diabolo,Autres produits alimentaires nca
Knorr - Nudle Ser w zio?ach Knorr,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Knorr - Nudle Cheese in herbs Knorr,Other food items not elsewhere classified,Knorr - Nudle Cheese aux herbes Knorr,Autres produits alimentaires nca
Knorr - Nudle Ser w zio?ach Knorr,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Knorr - Nudle Cheese in herbs Knorr,Other food items not elsewhere classified,Knorr - Nudle Cheese aux herbes Knorr,Autres produits alimentaires nca
Knorr - Papryka ostra z Hiszpanii,"Sól, przyprawy korzenne i zio?a kulinarne",Knorr - Hot pepper from Spain,"Salt, spices and culinary herbs",Knorr - Piment d&#39;Espagne,"Sel, épices et herbes culinaires"
Knorr - Papryka s?odka z Hiszpanii,"Sól, przyprawy korzenne i zio?a kulinarne",Knorr - Sweet pepper from Spain,"Salt, spices and culinary herbs",Knorr - Poivron d&#39;Espagne,"Sel, épices et herbes culinaires"
Knorr - Pieprz czarny mielony z Wietnamu,"Sól, przyprawy korzenne i zio?a kulinarne",Knorr - Ground black pepper from Vietnam,"Salt, spices and culinary herbs",Knorr - Poivre noir du Vietnam,"Sel, épices et herbes culinaires"
Knorr - Pieprz czarny ziarnisty z Wietnamu,"Sól, przyprawy korzenne i zio?a kulinarne",Knorr - Black grainy pepper from Vietnam,"Salt, spices and culinary herbs",Knorr - Poivre grainé noir du Vietnam,"Sel, épices et herbes culinaires"
Knorr - Przyprawa do mi?s,"Sól, przyprawy korzenne i zio?a kulinarne",Knorr - Meat seasoning,"Salt, spices and culinary herbs",Knorr - Assaisonnement à la viande,"Sel, épices et herbes culinaires"
Knorr - Przyprawa do skrzyde?ek z kurczaka,"Sól, przyprawy korzenne i zio?a kulinarne",Knorr - Seasoning for chicken wings,"Salt, spices and culinary herbs",Knorr - Assaisonnement pour ailes de poulet,"Sel, épices et herbes culinaires"
Knorr - Przyprawa do zapiekanek makaronowych,"Sól, przyprawy korzenne i zio?a kulinarne",Knorr - A spice for pasta casseroles,"Salt, spices and culinary herbs",Knorr - Une épice pour les casseroles de pâtes,"Sel, épices et herbes culinaires"
Knorr - Przyprawa do ziemniaków,"Sól, przyprawy korzenne i zio?a kulinarne",Knorr - Potato spice,"Salt, spices and culinary herbs",Knorr - Épice de pomme de terre,"Sel, épices et herbes culinaires"
Knorr - Przyprawa do zup w p?ynie,"Sosy, przyprawy",Knorr - Liquid soup spice,"Sauces, spices",Knorr - Épice à soupe liquide,"Sauces, Epices"
Knorr - Przyprawa do z?otego kurczaka,"Sól, przyprawy korzenne i zio?a kulinarne",Knorr - A golden chicken spice,"Salt, spices and culinary herbs",Knorr - Une épice de poulet doré,"Sel, épices et herbes culinaires"
Knorr - Przyprawa mini kostka czosnek,"Sól, przyprawy korzenne i zio?a kulinarne",Knorr - Spice mini garlic cube,"Salt, spices and culinary herbs",Knorr - Mini cube d&#39;ail aux épices,"Sel, épices et herbes culinaires"
Knorr - Przyprawa mini kostka sma?ona cebulka,Warzywa suszone i pozosta?e przetwory warzywne,Knorr - Spice mini cube fried onions,Dried vegetables and other vegetable preserves,Knorr - Oignons frits mini cube d&#39;épices,Légumes secs et autres préparations à base de légumes
Knorr - Rosó? z kury kostka,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Knorr - Chicken broth cubes,Other food items not elsewhere classified,Knorr - Cubes de bouillon de poulet,Autres produits alimentaires nca
"Knorr - Rosó? z kury pietruszka i lubczyk, kostka","Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane","Knorr - Chicken broth, parsley and lovage, cubes",Other food items not elsewhere classified,"Knorr - Bouillon de poulet, persil et lovage, cubes",Autres produits alimentaires nca
Knorr - Sos Sa?atkowy Paprykowo-zio?owy,"Sosy, przyprawy",Knorr - Pepper-herb salad dressing,"Sauces, spices",Knorr - Vinaigrette au poivre et aux herbes,"Sauces, Epices"
Knorr - Sos do pieczeni jasny,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Knorr - Light roast sauce,Other food items not elsewhere classified,Knorr - Sauce rôtie légère,Autres produits alimentaires nca
Knorr - Sos do potraw chi?skich,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Knorr - Sauce for Chinese dishes,Other food items not elsewhere classified,Knorr - Sauce pour les plats chinois,Autres produits alimentaires nca
Knorr - Sos do sa?atek grecki,"Sosy, przyprawy",Knorr - Greek salad dressing,"Sauces, spices",Knorr - Vinaigrette Grecque,"Sauces, Epices"
Knorr - Sos fix  spaghetti napoli,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Knorr - Fix spaghetti napoli sauce,Other food items not elsewhere classified,Knorr - Sauce Spaghetti Napoli,Autres produits alimentaires nca
Knorr - Sos fix gulasz w?gierski,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Knorr - Sos fix Hungarian goulash,Other food items not elsewhere classified,Knorr - Sos corrige une goulache hongroise,Autres produits alimentaires nca
Knorr - Sos fix spaghetti bolognese,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Knorr - Fix spaghetti bolognese sauce,Other food items not elsewhere classified,Knorr - Sauce spaghetti à la sauce bolognaise,Autres produits alimentaires nca
Knorr - Sos grzybowy,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Knorr - Mushroom sauce,Other food items not elsewhere classified,Knorr - Sauce Aux Champignons,Autres produits alimentaires nca
Knorr - Sos my?liwski,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Knorr - Hunting sauce,Other food items not elsewhere classified,Knorr - Sauce de chasse,Autres produits alimentaires nca
Knorr - Sos sa?atkowy Grecki z suszon? czerwon? papryk?,"Sosy, przyprawy",Knorr - Greek salad dressing with dried red pepper,"Sauces, spices",Knorr - Vinaigrette à la grecque avec piment rouge séché,"Sauces, Epices"
Knorr - Sos sa?atkowy Rozmaryn z malin?,"Sosy, przyprawy",Knorr - Salad dressing Rosemary with raspberry,"Sauces, spices",Knorr - Vinaigrette Romarin à la Framboise,"Sauces, Epices"
Knorr - Sos sa?atkowy czosnkowo zio?owy,"Sosy, przyprawy",Knorr - Garlic herb salad dressing,"Sauces, spices",Knorr - Vinaigrette à l&#39;ail et à l&#39;ail,"Sauces, Epices"
Knorr - Sos sa?atkowy francuski,"Sosy, przyprawy",Knorr - French salad dressing,"Sauces, spices",Knorr - Vinaigrette Française,"Sauces, Epices"
Knorr - Sos sa?atkowy koperkowo-zio?owy,"Sosy, przyprawy",Knorr - Dill herb salad,"Sauces, spices",Knorr - Vinaigrette aux herbes à l&#39;aneth,"Sauces, Epices"
Knorr - Sos sa?atkowy truskawkowy z chili,"Sosy, przyprawy",Knorr - Strawberry salad dressing with chili,"Sauces, spices",Knorr - Vinaigrette à la fraise au chili,"Sauces, Epices"
Knorr - Sos sa?atkowy zio?a ogrodowe,"Sosy, przyprawy",Knorr - Salad dressing for garden herbs,"Sauces, spices",Knorr - Vinaigrette aux herbes du jardin,"Sauces, Epices"
Knorr - Sos ?mietanowo grzybowy,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Knorr - Cream-mushroom sauce,Other food items not elsewhere classified,Knorr - sauce à la crème et aux champignons,Autres produits alimentaires nca
Knorr - Spaghetti Carbonara,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Knorr - Spaghetti Carbonara,Other food items not elsewhere classified,Knorr - Spaghetti Carbonara,Autres produits alimentaires nca
Knorr - Ziele angielskie z Meksyku,"Sól, przyprawy korzenne i zio?a kulinarne",Knorr - Allspice from Mexico,"Salt, spices and culinary herbs",Knorr - Allspice du Mexique,"Sel, épices et herbes culinaires"
Knorr - Zio?a prowansalskie mieszanka zió? i przypraw,"Sól, przyprawy korzenne i zio?a kulinarne",Knorr - Herbes de Provence mix of herbs and spices,"Salt, spices and culinary herbs",Knorr - Herbes de Provence mélange d&#39;herbes et d&#39;épices,"Sel, épices et herbes culinaires"
Knorr - Zupa krem z borowików,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Knorr - Boletus cream soup,Other food items not elsewhere classified,Knorr - Velouté de Boletus,Autres produits alimentaires nca
Knorr - Zupa krem z kurek w proszku,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Knorr - Cream soup with chanterelle powder,Other food items not elsewhere classified,Knorr - Velouté avec poudre de girolles,Autres produits alimentaires nca
Knorr - ?urek w proszku,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Knorr - Sour soup in powder,Other food items not elsewhere classified,Knorr - Soupe aigre en poudre,Autres produits alimentaires nca
Knorr - ?urek z w?dzonk? w proszku,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Knorr - Sour soup with smoked meats,Other food items not elsewhere classified,Knorr - Soupe aigre avec viandes fumées,Autres produits alimentaires nca
Kohler - Porcja ?ososia atlantyckiego w?dzona na zimno ze s...,"Ryby i owoce morza suszone, w?dzone lub solone",Kohler - Portion of cold smoked Atlantic salmon with s ...,"Dried, smoked or salted seafood and fish",Kohler - Portion de saumon atlantique fumé à froid ...,"Poisson et fruits de mer séchés, fumés ou salés"
Kokos - m?ody drink,Owoce suszone i orzechy,Coconut - young drink,Dried fruits and nuts,Noix de coco - boisson jeune,Fruits secs et noix
Kokos - waga oko?o 450g,Owoce suszone i orzechy,Coconut - weight about 450g,Dried fruits and nuts,Noix de coco - poids environ 450g,Fruits secs et noix
Komersmag - ?ledziki marynowane bez cebuli w oleju,Pozosta?e przetwory z ryb i owoców morza,Komersmag - Herring marinated without onion in oil,Other preparations of fish and seafood,Komersmag - Hareng mariné sans oignon dans l&#39;huile,Autres préparations de poisson et de fruits de mer
Konecke - Salami delikatesowe,W?dliny,Konecke - Gourmet salami,meats,Konecke - Salami Gourmet,viandes
Konecke - Salami z pieprzem,W?dliny,Konecke - Salami with pepper,meats,Konecke - Salami au poivre,viandes
Konspol - Burger wo?owy 240g,Pozosta?e przetwory mi?sne,Konspol - Beef burger 240g,Other meat preparations,Konspol - Burger de boeuf 240g,Autres préparations de viande
Konspol - Hamburger drobiowy classic,Mi?so drobiowe,Konspol - Classic chicken burger,Poultry meat,Konspol - Burger de poulet classique,Viande de volaille
Konspol - Kabanosy podhala?skie kurczak z jagni?cin? bez glu...,W?dliny,Konspol - Kabanosy Podhalanski chicken with lamb without glu ...,meats,Konspol - Poulet Kabanosy Podhalanski avec agneau sans colle,viandes
"Konspol - Kie?basa wiejska wieprzowa bez glutenu, bez laktoz...",W?dliny,"Konspol - Country pork sausage without gluten, without lactose ...",meats,"Konspol - Saucisse de porc de campagne sans gluten, sans lactose ...",viandes
"Konspol - Kie?basa wiejska z kurczaka bez glutenu, bez lakto...",W?dliny,"Konspol - Rustic chicken sausage without gluten, without lacto ...",meats,"Konspol - Saucisse de poulet rustique sans gluten, sans lacto ...",viandes
"Konspol - Pol?dwica w?dzona z kurczaka bez glutenu, bez lakt...",W?dliny,"Konspol - Smoked chicken sirloin without gluten, without ...",meats,"Konspol - Surlonge de poulet fumé sans gluten, sans ...",viandes
Konspol - Szynka beskidzka bez glutenu light,W?dliny,Konspol - Beskid ham without gluten light,meats,Konspol - Jambon Beskid sans gluten lumière,viandes
Konspol - Szynka podhala?ska bez glutenu,W?dliny,Konspol - Highlander ham without gluten,meats,Konspol - Jambon Highlander sans gluten,viandes
Konspol - ?ar?aki kabanosy z kurczaka,W?dliny,Konspol - Chicken shrimps,meats,Konspol - Crevettes au poulet,viandes
Konspol - ?ar?aki pol?dwica z kurczaka bez glutenu,W?dliny,Konspol - Gluttonous chicken sirloin without gluten,meats,Konspol - Surlonge de poulet glouton sans gluten,viandes
Konti - Golden Lily cukierki w czekoladzie,Wyroby cukiernicze,Konti - Golden Lily candies in chocolate,Confectionery,Konti - Bonbons au lys d&#39;or au chocolat,Confiserie
Koperek - p?czek,"Sól, przyprawy korzenne i zio?a kulinarne",Dill - a bunch,"Salt, spices and culinary herbs",Aneth - un tas,"Sel, épices et herbes culinaires"
Kopernik - Katarzynki w czekoladzie,Pozosta?e wyroby piekarskie,Copernicus - Honey-cake in chocolate,Other bakery products,Copernicus - Gâteau au miel au chocolat,Autres produits de boulangerie
Kopernik - Pierniki Uszatki 170 g,Pozosta?e wyroby piekarskie,Copernicus - Gingerbread Ears 170 g,Other bakery products,Copernicus - Oreilles en pain d&#39;épice 170 g,Autres produits de boulangerie
Kopernik - Pierniki serca toru?skie,Pozosta?e wyroby piekarskie,Copernicus - Toru? gingerbread hearts,Other bakery products,Copernicus - Coeurs en pain d&#39;épice de Toru?,Autres produits de boulangerie
Kopernik - Pierniki w bia?ej czekoladzie nadziewane czarn? po...,Pozosta?e wyroby piekarskie,Copernicus - Gingerbread in white chocolate stuffed with black ...,Other bakery products,Copernicus - Pain d&#39;épice au chocolat blanc farci de ...,Autres produits de boulangerie
Kopernik - Pierniki w czekoladzie nadziewane morel?,Pozosta?e wyroby piekarskie,Copernicus - Chocolate-covered gingerbread filled with apricot,Other bakery products,Copernicus - Pain d&#39;épice enrobé de chocolat fourré à l&#39;abricot,Autres produits de boulangerie
Kopernik - Serca piernikowe w czekoladzie,Pozosta?e wyroby piekarskie,Copernicus - gingerbread hearts in chocolate,Other bakery products,Copernicus - coeurs en pain d&#39;épice au chocolat,Autres produits de boulangerie
Kopernik - Torcik piernik w czekoladzie przek?adany nadzienie...,Pozosta?e wyroby piekarskie,Copernicus - gingerbread cake in chocolate layered filling ...,Other bakery products,Copernicus - Gâteau au pain d&#39;épices dans une garniture au chocolat ...,Autres produits de boulangerie
Kopiko - Carmel Frappe,Kawa,Kopiko - Carmel Frappe,Coffee,Kopiko - Carmel Frappe,café
Kopiko - Mocha czekoladowy napój kawowy,Kawa,Kopiko - Mocha chocolate coffee drink,Coffee,Kopiko - boisson au café moka au chocolat,café
Koral - Grand Gold lody waniliowe w mlecznej czekoladzie z...,Lody,Coral - Grand Gold vanilla ice cream in milk chocolate with ...,Ice cream,Coral - Glace vanille Grand Gold au chocolat au lait avec ...,crème glacée
Koral - Lody Kolorowe Lato ?mietanka-truskawka-czekolada,Lody,Coral - Colorful Ice Cream Summer cream-strawberry-chocolate,Ice cream,Coral - Crème glacée colorée Crème d&#39;été-fraise-chocolat,crème glacée
Koral - Lody kolorowe lato bakaliowe,Lody,Coral - Colorful summer delicacies ice cream,Ice cream,Corail - Fruits secs d&#39;été et noix,crème glacée
Koral - ?oso? w?dzony na zimno plastry,"Ryby i owoce morza suszone, w?dzone lub solone",Coral - Cold smoked salmon slices,"Dried, smoked or salted seafood and fish",Corail - Tranches de saumon fumé à froid,"Poisson et fruits de mer séchés, fumés ou salés"
Koska - Cha?wa waniliowa,Wyroby cukiernicze,Koska - Vanilla halva,Confectionery,Koska - Halva vanille,Confiserie
Kotanyi - Agartyna - ro?linna substancja ?eluj?ca,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Kotanyi - Agartin - a vegetable gelling substance,Other food items not elsewhere classified,Kotanyi - Agartin - une substance gélifiante végétale,Autres produits alimentaires nca
Kotanyi - Any? ca?y,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - Anise whole,"Salt, spices and culinary herbs",Kotanyi - Anis entier,"Sel, épices et herbes culinaires"
Kotanyi - Cebulka pra?ona,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - Roasted onion,"Salt, spices and culinary herbs",Kotanyi - Oignon grillé,"Sel, épices et herbes culinaires"
Kotanyi - Chili jalapeno kruszone,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - Crushed jalapeno,"Salt, spices and culinary herbs",Kotanyi - Jalapeno broyé,"Sel, épices et herbes culinaires"
Kotanyi - Chili m?ynek,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - Chili grinder,"Salt, spices and culinary herbs",Kotanyi - Moulin à chili,"Sel, épices et herbes culinaires"
Kotanyi - Chili peperoncini ca?e,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - Chili peperoncini whole,"Salt, spices and culinary herbs",Kotanyi - Chili peperoncini entier,"Sel, épices et herbes culinaires"
Kotanyi - Cukier z prawdziw? wanili?,Cukier,Kotanyi - Sugar with real vanilla,Sugar,Kotanyi - Sucre à la vraie vanille,sucre
Kotanyi - Cynamon ca?y,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - Cinnamon whole,"Salt, spices and culinary herbs",Kotanyi - cannelle entière,"Sel, épices et herbes culinaires"
Kotanyi - Cynamon mielony,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - Ground cinnamon,"Salt, spices and culinary herbs",Kotanyi - cannelle moulue,"Sel, épices et herbes culinaires"
Kotanyi - Czosnek m?ynek,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - Garlic grinder,"Salt, spices and culinary herbs",Kotanyi - Moulin à l&#39;ail,"Sel, épices et herbes culinaires"
Kotanyi - Czosnek nied?wiedzi ci?ty,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - Cut bear&#39;s garlic,"Salt, spices and culinary herbs",Kotanyi - Ail coupé d&#39;ours,"Sel, épices et herbes culinaires"
Kotanyi - Czubryca zielona mieszanka przypraw,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - Czubryca green blend of spices,"Salt, spices and culinary herbs",Kotanyi - mélange d&#39;épices vert Czubryca,"Sel, épices et herbes culinaires"
Kotanyi - Cz?ber otarty,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - Savory savory,"Salt, spices and culinary herbs",Kotanyi - Sarriette,"Sel, épices et herbes culinaires"
Kotanyi - Estragon otarty,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - Tarragon rubbed off,"Salt, spices and culinary herbs",Kotanyi - Estragon effacé,"Sel, épices et herbes culinaires"
Kotanyi - Harissa mieszanka przypraw,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - Harissa spice mix,"Salt, spices and culinary herbs",Kotanyi - mélange d&#39;épices Harissa,"Sel, épices et herbes culinaires"
Kotanyi - Kardamon  mielony,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - Ground cardamom,"Salt, spices and culinary herbs",Kotanyi - Cardamome moulue,"Sel, épices et herbes culinaires"
Kotanyi - Kardamon ca?y,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - Cardamom whole,"Salt, spices and culinary herbs",Kotanyi - Cardamome entière,"Sel, épices et herbes culinaires"
Kotanyi - Kmin rzymski ca?y,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - Roman cumin whole,"Salt, spices and culinary herbs",Kotanyi - cumin romain entier,"Sel, épices et herbes culinaires"
Kotanyi - Kmin rzymski mielony Kumin,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - Ground Roman cumin Cumin,"Salt, spices and culinary herbs",Kotanyi - Cumin romain moulu Cumin,"Sel, épices et herbes culinaires"
Kotanyi - Koper w?oski ca?y,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - Whole fennel,"Salt, spices and culinary herbs",Kotanyi - Fenouil entier,"Sel, épices et herbes culinaires"
Kotanyi - Lubczyk,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - Lovage,"Salt, spices and culinary herbs",Kotanyi - Lovage,"Sel, épices et herbes culinaires"
Kotanyi - Mi?ta zielona,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - Mint green,"Salt, spices and culinary herbs",Kotanyi - Vert menthe,"Sel, épices et herbes culinaires"
Kotanyi - M?ynek karmel i wanilia do kawy i deserów,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - Caramel and vanilla grinder for coffee and desserts,"Salt, spices and culinary herbs",Kotanyi - Moulin à caramel et à la vanille pour café et desserts,"Sel, épices et herbes culinaires"
Kotanyi - M?ynek karmel i wanilia ze skórk? pomara?czow?,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - Caramel mill and vanilla with orange peel,"Salt, spices and culinary herbs",Kotanyi - Moulin à caramel et vanille avec zeste d&#39;orange,"Sel, épices et herbes culinaires"
Kotanyi - M?ynek sól himalajska,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - Himalayan salt grinder,"Salt, spices and culinary herbs",Kotanyi - Moulin à sel de l&#39;Himalaya,"Sel, épices et herbes culinaires"
Kotanyi - Papryka w?dzona s?odka,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - Sweet smoked pepper,"Salt, spices and culinary herbs",Kotanyi - Poivron Fumé,"Sel, épices et herbes culinaires"
Kotanyi - Pieprz cayenne mielony,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - Ground cayenne pepper,"Salt, spices and culinary herbs",Kotanyi - Poivre de Cayenne moulu,"Sel, épices et herbes culinaires"
Kotanyi - Pietruszka ci?ta zielona,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - Cut green parsley,"Salt, spices and culinary herbs",Kotanyi - Persil vert coupé,"Sel, épices et herbes culinaires"
Kotanyi - Przyprawa czarnuszka ca?a,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - Black cumin whole spice,"Salt, spices and culinary herbs",Kotanyi - Épice entière au cumin noir,"Sel, épices et herbes culinaires"
Kotanyi - Przyprawa do Chili Con Carne,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - Spice for Chili Con Carne,"Salt, spices and culinary herbs",Kotanyi - Épice pour Chili Con Carne,"Sel, épices et herbes culinaires"
Kotanyi - Przyprawa do gyrosa,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - A gyros spice,"Salt, spices and culinary herbs",Kotanyi - Une épice de gyros,"Sel, épices et herbes culinaires"
Kotanyi - Przyprawa do pieczeni wieprzowej,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - Spice for roast pork,"Salt, spices and culinary herbs",Kotanyi - Épice pour rôti de porc,"Sel, épices et herbes culinaires"
Kotanyi - Przyprawa do ziemniaków,"Sól, przyprawy korzenne i zio?a kulinarne",Kotanyi - Potato spice,"Salt, spices and culinary herbs",Kotanyi - épice de pomme de terre,"Sel, épices et herbes culinaires"
